node, assignment, time2inf, time2death
250,t,125.018475180397,125.018475180397
251,t,125.018475180397,125.018475180397
252,t,125.018475180397,125.018475180397
253,c,125.018475180397,125.018475180397
254,c,125.018475180397,125.018475180397
255,t,125.018475180397,125.018475180397
256,c,3.4234596095012524,10.014593763873394
257,c,125.018475180397,125.018475180397
258,c,125.018475180397,125.018475180397
259,t,5.27857792930517,5.764052814491909
260,c,125.018475180397,125.018475180397
261,c,125.018475180397,125.018475180397
262,t,125.018475180397,125.018475180397
263,t,125.018475180397,125.018475180397
264,t,125.018475180397,125.018475180397
265,t,125.018475180397,125.018475180397
266,c,125.018475180397,125.018475180397
267,c,125.018475180397,125.018475180397
268,t,125.018475180397,125.018475180397
269,t,125.018475180397,125.018475180397
270,t,125.018475180397,125.018475180397
271,c,19.077969387764963,22.01051132348671
272,c,83.21455653166493,100.05087068754126
273,c,125.018475180397,125.018475180397
274,c,125.018475180397,125.018475180397
275,c,88.51970559040265,88.70393123345433
276,c,125.018475180397,125.018475180397
277,t,125.018475180397,125.018475180397
278,t,125.018475180397,125.018475180397
279,c,125.018475180397,125.018475180397
280,c,125.018475180397,125.018475180397
281,t,125.018475180397,125.018475180397
282,c,125.018475180397,125.018475180397
283,c,125.018475180397,125.018475180397
284,t,11.835466399895896,14.103005003789514
285,c,125.018475180397,125.018475180397
286,c,125.018475180397,125.018475180397
287,c,125.018475180397,125.018475180397
288,c,24.217299610386807,36.38462076222246
289,c,125.018475180397,125.018475180397
290,t,125.018475180397,125.018475180397
291,c,125.018475180397,125.018475180397
292,c,6.2302962261984565,8.609655162676084
293,t,125.018475180397,125.018475180397
294,t,13.899330959527582,125.018475180397
295,t,125.018475180397,125.018475180397
296,t,125.018475180397,125.018475180397
297,t,125.018475180397,125.018475180397
298,c,125.018475180397,125.018475180397
299,t,125.018475180397,125.018475180397
300,c,100.09556356615808,110.15136680240742
301,c,125.018475180397,125.018475180397
302,t,125.018475180397,125.018475180397
303,c,125.018475180397,125.018475180397
304,t,125.018475180397,125.018475180397
305,c,125.018475180397,125.018475180397
306,c,33.639031987776015,34.34132635379442
307,c,125.018475180397,125.018475180397
308,t,125.018475180397,125.018475180397
309,t,125.018475180397,125.018475180397
310,t,125.018475180397,125.018475180397
311,c,125.018475180397,125.018475180397
312,t,125.018475180397,125.018475180397
313,c,18.738059135520945,28.72470332323275
314,t,125.018475180397,125.018475180397
315,c,125.018475180397,125.018475180397
316,t,125.018475180397,125.018475180397
317,c,125.018475180397,125.018475180397
318,t,125.018475180397,125.018475180397
319,t,78.99094373746716,83.35992653982306
320,na,3.2606416833786653,7.199765060798496
321,t,125.018475180397,125.018475180397
322,t,125.018475180397,125.018475180397
323,c,125.018475180397,125.018475180397
324,t,125.018475180397,125.018475180397
325,c,125.018475180397,125.018475180397
326,c,125.018475180397,125.018475180397
327,t,125.018475180397,125.018475180397
328,t,125.018475180397,125.018475180397
329,c,50.88201930695924,62.397843872899905
330,t,125.018475180397,125.018475180397
331,c,125.018475180397,125.018475180397
332,c,125.018475180397,125.018475180397
333,t,125.018475180397,125.018475180397
334,c,125.018475180397,125.018475180397
335,c,125.018475180397,125.018475180397
336,t,125.018475180397,125.018475180397
337,c,125.018475180397,125.018475180397
338,t,125.018475180397,125.018475180397
339,c,125.018475180397,125.018475180397
340,c,30.498700817358554,31.911366880300527
341,t,125.018475180397,125.018475180397
342,c,125.018475180397,125.018475180397
343,t,125.018475180397,125.018475180397
344,t,125.018475180397,125.018475180397
345,c,125.018475180397,125.018475180397
346,c,125.018475180397,125.018475180397
347,t,125.018475180397,125.018475180397
348,c,125.018475180397,125.018475180397
349,t,125.018475180397,125.018475180397
350,t,125.018475180397,125.018475180397
351,c,125.018475180397,125.018475180397
352,t,125.018475180397,125.018475180397
353,t,125.018475180397,125.018475180397
354,t,125.018475180397,125.018475180397
355,c,125.018475180397,125.018475180397
356,c,125.018475180397,125.018475180397
357,c,125.018475180397,125.018475180397
358,c,19.720062211744498,23.810947356009674
359,t,42.22300896153418,48.58683580188541
360,t,125.018475180397,125.018475180397
361,t,125.018475180397,125.018475180397
362,t,125.018475180397,125.018475180397
363,c,125.018475180397,125.018475180397
364,na,-1,0
365,t,125.018475180397,125.018475180397
366,c,125.018475180397,125.018475180397
367,c,125.018475180397,125.018475180397
368,t,125.018475180397,125.018475180397
369,c,125.018475180397,125.018475180397
370,t,125.018475180397,125.018475180397
371,c,125.018475180397,125.018475180397
372,c,125.018475180397,125.018475180397
373,c,125.018475180397,125.018475180397
374,c,125.018475180397,125.018475180397
375,t,125.018475180397,125.018475180397
376,c,125.018475180397,125.018475180397
377,t,125.018475180397,125.018475180397
378,t,125.018475180397,125.018475180397
379,t,20.012005854215836,20.265410352532328
380,t,125.018475180397,125.018475180397
381,t,41.63041538234096,46.23418812138073
382,c,125.018475180397,125.018475180397
383,c,125.018475180397,125.018475180397
384,c,125.018475180397,125.018475180397
385,c,125.018475180397,125.018475180397
386,c,125.018475180397,125.018475180397
387,t,125.018475180397,125.018475180397
388,t,125.018475180397,125.018475180397
389,c,125.018475180397,125.018475180397
390,t,125.018475180397,125.018475180397
391,c,125.018475180397,125.018475180397
392,na,4.4336004609414355,6.0468111783652105
393,t,125.018475180397,125.018475180397
394,t,125.018475180397,125.018475180397
395,c,125.018475180397,125.018475180397
396,t,125.018475180397,125.018475180397
397,t,125.018475180397,125.018475180397
398,c,125.018475180397,125.018475180397
399,t,125.018475180397,125.018475180397
400,c,125.018475180397,125.018475180397
401,c,125.018475180397,125.018475180397
402,c,125.018475180397,125.018475180397
403,t,125.018475180397,125.018475180397
404,t,125.018475180397,125.018475180397
405,t,125.018475180397,125.018475180397
406,t,125.018475180397,125.018475180397
407,na,1.5649473877127273,125.018475180397
408,c,125.018475180397,125.018475180397
409,c,125.018475180397,125.018475180397
410,t,125.018475180397,125.018475180397
411,t,125.018475180397,125.018475180397
412,c,125.018475180397,125.018475180397
413,t,125.018475180397,125.018475180397
414,c,125.018475180397,125.018475180397
415,c,125.018475180397,125.018475180397
416,c,22.008163345900645,24.648731679910693
417,c,125.018475180397,125.018475180397
418,t,125.018475180397,125.018475180397
419,t,125.018475180397,125.018475180397
420,c,125.018475180397,125.018475180397
421,t,125.018475180397,125.018475180397
422,c,125.018475180397,125.018475180397
423,c,125.018475180397,125.018475180397
424,c,125.018475180397,125.018475180397
425,c,125.018475180397,125.018475180397
426,c,125.018475180397,125.018475180397
427,t,125.018475180397,125.018475180397
428,t,125.018475180397,125.018475180397
429,t,19.52005842575405,23.144721749470577
430,t,125.018475180397,125.018475180397
431,t,125.018475180397,125.018475180397
432,c,18.73933917002572,25.242492280231346
433,t,11.83959580099316,14.490341110615823
434,c,125.018475180397,125.018475180397
435,t,125.018475180397,125.018475180397
436,t,125.018475180397,125.018475180397
437,t,125.018475180397,125.018475180397
438,t,125.018475180397,125.018475180397
439,t,125.018475180397,125.018475180397
440,t,125.018475180397,125.018475180397
441,c,125.018475180397,125.018475180397
442,t,125.018475180397,125.018475180397
443,t,125.018475180397,125.018475180397
444,c,96.9090524924878,98.05815485109511
445,c,125.018475180397,125.018475180397
446,c,125.018475180397,125.018475180397
447,t,125.018475180397,125.018475180397
448,c,125.018475180397,125.018475180397
449,t,125.018475180397,125.018475180397
450,c,125.018475180397,125.018475180397
451,t,21.562851841506674,43.161750931853
452,t,125.018475180397,125.018475180397
453,c,32.612889370374155,35.21084382768913
454,t,125.018475180397,125.018475180397
455,na,0,5.134597536593465
456,c,125.018475180397,125.018475180397
457,t,125.018475180397,125.018475180397
458,c,125.018475180397,125.018475180397
459,c,125.018475180397,125.018475180397
460,t,125.018475180397,125.018475180397
461,c,125.018475180397,125.018475180397
462,t,125.018475180397,125.018475180397
463,t,125.018475180397,125.018475180397
464,t,125.018475180397,125.018475180397
465,c,125.018475180397,125.018475180397
466,t,125.018475180397,125.018475180397
467,c,125.018475180397,125.018475180397
468,c,125.018475180397,125.018475180397
469,c,125.018475180397,125.018475180397
470,c,125.018475180397,125.018475180397
471,t,125.018475180397,125.018475180397
472,t,11.790480780162673,32.20983533776241
473,t,125.018475180397,125.018475180397
474,t,3.1537794287336167,3.359262093747626
475,t,28.66170934502641,30.39915921812915
476,c,125.018475180397,125.018475180397
477,t,125.018475180397,125.018475180397
478,c,125.018475180397,125.018475180397
479,t,37.15303804995857,38.18036755073696
480,t,125.018475180397,125.018475180397
481,t,125.018475180397,125.018475180397
482,t,62.08632164055841,125.018475180397
483,t,125.018475180397,125.018475180397
484,t,125.018475180397,125.018475180397
485,t,125.018475180397,125.018475180397
486,t,125.018475180397,125.018475180397
487,t,125.018475180397,125.018475180397
488,c,125.018475180397,125.018475180397
489,t,125.018475180397,125.018475180397
490,c,125.018475180397,125.018475180397
491,c,30.478906525199832,30.91889254395977
492,c,17.85029778675147,20.127713291184385
493,c,125.018475180397,125.018475180397
494,c,125.018475180397,125.018475180397
495,t,125.018475180397,125.018475180397
496,t,125.018475180397,125.018475180397
497,t,125.018475180397,125.018475180397
498,c,125.018475180397,125.018475180397
499,t,125.018475180397,125.018475180397
500,t,25.613459290113607,26.8444569067836
501,c,125.018475180397,125.018475180397
502,c,125.018475180397,125.018475180397
503,t,125.018475180397,125.018475180397
504,c,125.018475180397,125.018475180397
505,t,125.018475180397,125.018475180397
506,c,125.018475180397,125.018475180397
507,t,125.018475180397,125.018475180397
508,t,125.018475180397,125.018475180397
509,t,125.018475180397,125.018475180397
510,t,125.018475180397,125.018475180397
511,c,125.018475180397,125.018475180397
512,t,125.018475180397,125.018475180397
513,c,125.018475180397,125.018475180397
514,t,125.018475180397,125.018475180397
515,c,125.018475180397,125.018475180397
516,t,125.018475180397,125.018475180397
517,na,2.055611099506705,4.328885361363048
518,c,125.018475180397,125.018475180397
519,t,125.018475180397,125.018475180397
520,t,125.018475180397,125.018475180397
521,t,125.018475180397,125.018475180397
522,t,125.018475180397,125.018475180397
523,t,125.018475180397,125.018475180397
524,c,125.018475180397,125.018475180397
525,c,125.018475180397,125.018475180397
526,na,11.143700263296319,28.82623624736989
527,c,125.018475180397,125.018475180397
528,t,125.018475180397,125.018475180397
529,t,125.018475180397,125.018475180397
530,c,125.018475180397,125.018475180397
531,t,125.018475180397,125.018475180397
532,c,125.018475180397,125.018475180397
533,t,3.2838232047036175,5.2036841117842725
534,c,125.018475180397,125.018475180397
535,c,125.018475180397,125.018475180397
536,t,125.018475180397,125.018475180397
537,t,125.018475180397,125.018475180397
538,c,125.018475180397,125.018475180397
539,t,45.8160289244765,47.685313180423826
540,c,125.018475180397,125.018475180397
541,c,125.018475180397,125.018475180397
542,t,125.018475180397,125.018475180397
543,na,2.0130337368377336,3.412210803680877
544,c,125.018475180397,125.018475180397
545,t,58.42125979749827,63.51255440271854
546,c,125.018475180397,125.018475180397
547,t,125.018475180397,125.018475180397
548,c,125.018475180397,125.018475180397
549,t,11.25674864368847,15.31384783971428
550,t,125.018475180397,125.018475180397
551,na,8.30587703039259,13.43208574620106
552,c,125.018475180397,125.018475180397
553,c,125.018475180397,125.018475180397
554,t,80.58653292091839,88.08964424651434
555,c,125.018475180397,125.018475180397
556,c,125.018475180397,125.018475180397
557,t,16.625201214944095,17.847496876166595
558,c,125.018475180397,125.018475180397
559,c,125.018475180397,125.018475180397
560,t,125.018475180397,125.018475180397
561,c,31.366641363673146,38.42399243108322
562,c,125.018475180397,125.018475180397
563,c,125.018475180397,125.018475180397
564,c,125.018475180397,125.018475180397
565,t,125.018475180397,125.018475180397
566,t,125.018475180397,125.018475180397
567,c,125.018475180397,125.018475180397
568,c,125.018475180397,125.018475180397
569,c,77.79242346388232,79.03804310173507
570,c,125.018475180397,125.018475180397
571,t,125.018475180397,125.018475180397
572,c,125.018475180397,125.018475180397
573,t,60.873538544301766,67.22688220479847
574,t,125.018475180397,125.018475180397
575,t,125.018475180397,125.018475180397
576,t,125.018475180397,125.018475180397
577,t,125.018475180397,125.018475180397
578,c,54.30524508459076,56.17843906608548
579,t,125.018475180397,125.018475180397
580,c,125.018475180397,125.018475180397
581,c,125.018475180397,125.018475180397
582,t,125.018475180397,125.018475180397
583,t,125.018475180397,125.018475180397
584,t,125.018475180397,125.018475180397
585,t,83.35657288772732,125.018475180397
586,t,125.018475180397,125.018475180397
587,t,125.018475180397,125.018475180397
588,t,125.018475180397,125.018475180397
589,c,125.018475180397,125.018475180397
590,t,125.018475180397,125.018475180397
591,t,125.018475180397,125.018475180397
592,t,125.018475180397,125.018475180397
593,t,68.17556803994883,70.00009165366595
594,c,18.43318034249946,20.181568230909388
595,c,125.018475180397,125.018475180397
596,c,7.098880526266454,9.330398132967488
597,c,125.018475180397,125.018475180397
598,t,125.018475180397,125.018475180397
599,c,125.018475180397,125.018475180397
600,c,125.018475180397,125.018475180397
601,c,125.018475180397,125.018475180397
602,t,125.018475180397,125.018475180397
603,t,125.018475180397,125.018475180397
604,t,125.018475180397,125.018475180397
605,c,125.018475180397,125.018475180397
606,c,20.807849871648017,21.329425800587263
607,t,125.018475180397,125.018475180397
608,c,125.018475180397,125.018475180397
609,c,125.018475180397,125.018475180397
610,t,125.018475180397,125.018475180397
611,c,125.018475180397,125.018475180397
612,t,125.018475180397,125.018475180397
613,t,125.018475180397,125.018475180397
614,t,125.018475180397,125.018475180397
615,t,125.018475180397,125.018475180397
616,c,10.38967122053944,12.137052798774384
617,c,125.018475180397,125.018475180397
618,c,48.75034180930298,51.502547227727426
619,c,6.434187606706176,6.677892050170359
620,c,125.018475180397,125.018475180397
621,t,125.018475180397,125.018475180397
622,c,125.018475180397,125.018475180397
