node, assignment, time2inf_trt, time2inf_con
153,na,39.9097140857732,35.68007740633079
154,na,70.73361264650083,84.89437422015823
155,na,55.321826933755105,21.064416889548287
156,na,137.29981770998072,29.044708241457318
157,na,9.977129347889873,8.049776788750686
158,na,65.26600818022924,129.81530608674578
159,na,51.97477848542987,17.263463455195915
160,na,45.75070151482136,58.53171581001497
161,na,16.997137334664234,34.32281326297522
162,e,41.47343597161009,129.81530608674578
163,na,48.41848909533241,64.51099606905574
164,na,25.41838846050044,5.364116676620445
165,na,43.00796176132047,26.167293227862864
166,na,25.958342991508605,45.302109731812614
167,na,37.91495156102108,31.816256136173703
168,na,32.21112948840249,41.22880952856619
169,na,38.08783870315769,42.78809008262662
170,na,39.91292971886824,59.06161742849058
171,na,61.654556654124974,10.22676292019363
172,na,45.20615174576214,64.9563760856821
173,na,32.60532120172313,7.743611408200926
174,na,56.501219404861175,41.41977105950087
175,na,35.387498681637695,46.56952918893638
176,na,31.214545223218725,62.78187002086175
177,na,9.91134814186907,21.892574203541965
178,na,21.197847159048393,41.47050091885558
179,na,63.07992401244929,27.620741564462524
180,na,137.29981770998072,54.7555230878887
181,na,30.419554148611855,29.42079282494515
182,na,49.036292879136035,35.730854845588254
183,na,32.068548576267624,27.727371953951863
184,na,29.894960078715656,21.890225022811073
185,na,56.84350639763161,129.81530608674578
186,na,24.62132987835765,129.81530608674578
187,na,38.52094694715475,64.18515340904784
188,na,31.458019198491964,35.97862164925981
189,na,71.0342782739367,71.62358065142254
190,na,45.16578880942374,63.68097887459147
191,na,37.261810029662996,53.86972265860256
192,na,26.05880219068248,13.072920987737529
193,na,49.19829523864793,40.995144273107215
194,na,137.29981770998072,23.55279072686619
195,e,137.29981770998072,129.81530608674578
196,na,78.01927272468377,129.81530608674578
197,na,137.29981770998072,33.67640085134566
198,na,32.96632341775938,30.892216100256228
199,na,51.65474712363972,49.61019129035355
200,na,49.893956234477514,63.71637078153785
201,na,54.051187053360344,30.75333290398707
202,na,30.18889114613204,55.844988235414505
203,na,28.06733340575606,52.127234756181245
204,e,137.29981770998072,129.81530608674578
205,e,137.29981770998072,57.38144831239452
206,na,60.18725625622267,71.63201979847655
207,na,44.31734464850701,28.686362647651297
208,na,59.51219215505374,43.76729344835811
209,na,137.29981770998072,24.96772804596611
210,na,27.339308973100785,4.038580365809046
211,na,33.91592014161073,32.733696802839255
212,na,14.435557133385515,48.281673064481254
213,e,40.2671784350743,28.121345984921643
214,na,12.40546883384516,75.52024444377746
215,na,20.383823431180044,38.11061194283606
216,na,21.773596428454503,19.753136865079405
217,na,39.33782022135269,40.99787640729456
218,na,44.863796748679164,19.25481135616807
219,na,28.605416789624787,129.81530608674578
220,na,16.100455005339978,46.069084127894264
221,na,15.45637923745801,39.64400231046169
222,na,37.01410817611707,29.765716542608423
223,na,71.63287157410358,52.52321045725492
224,na,29.31368257188649,33.701248538358364
225,na,32.647403612720446,32.42172783489834
226,na,21.116468319349334,129.81530608674578
227,na,137.29981770998072,41.06995675173074
228,na,21.524485921399123,129.81530608674578
229,na,66.95354075604,24.41960258517418
230,na,137.29981770998072,59.36155114406077
231,na,69.5340266290492,52.15086549811672
232,na,39.28948754140445,45.000020428984485
233,na,26.56827839809272,35.89489565185772
234,na,8.501972141148753,46.15360517091862
235,na,87.04123666577556,129.81530608674578
236,na,76.23411263923917,33.20519842043576
237,na,23.95685550113202,50.64575266316597
238,na,25.9310853105252,129.81530608674578
239,na,49.49138803648728,78.77487163432748
240,na,20.978095081256736,44.69349106969587
241,na,23.85473754702631,36.46099698278684
242,na,25.072244561292127,59.580834969917674
243,na,13.638226762933185,38.52812410343181
244,na,31.974364347032115,89.79663986470334
245,na,137.29981770998072,21.688584986024647
246,na,37.72915436539158,32.196730885829595
247,na,74.15660436433934,54.3771065683358
248,na,24.071038434463407,30.497574649434966
249,na,32.28332510089675,31.699825073380545
250,e,44.88715112546552,31.64087407873178
251,na,48.00811470787682,43.667987480641564
252,na,0,0
253,na,35.475274807689395,45.777376856015124
254,na,45.709752998759136,10.462360201402587
255,na,32.691344530756766,28.83728976853504
256,na,33.25192828381364,29.1589590159777
257,na,35.84942558827555,23.29888766217856
258,na,25.88704126695474,16.704929167235193
259,na,86.30425308334519,42.60533452070571
260,na,22.672979953041587,56.336941983300264
261,na,43.052169298324365,16.173890572746274
262,na,30.593319660536157,65.93002223886127
263,na,51.28229610299741,40.228011620844086
264,na,62.11306186188454,40.35234127304753
265,na,48.04640017186024,60.83306474863824
266,na,30.952306119025273,38.40579764920011
267,na,34.22355318211019,82.6202263995041
268,na,60.69507183043839,55.032081780319
269,na,29.860637495617592,35.69040078353304
270,e,45.50659472425639,71.04144851385115
271,e,61.90715632099806,60.89362789280722
272,na,57.93863431358898,25.64245609786448
273,na,46.4051252051766,43.373528599450715
274,na,47.84284185875145,45.62624985672533
275,na,137.29981770998072,55.5378217091647
276,na,55.298303385228145,38.50477579417367
277,na,24.728605984745,44.795068798054224
278,na,33.14266820397574,40.41671351021709
279,na,62.08153246904569,63.72133813650719
280,na,52.332039093090934,51.468450677928374
281,na,12.42612329965005,62.10517422415525
282,na,55.23840067520252,41.42516522778123
283,na,0,0
284,na,59.26378543575181,50.54434366260452
285,na,51.73528099821288,45.32105769997159
286,na,53.39218244148936,31.148449736026663
287,na,47.79184926648653,68.28621642776577
288,na,30.583537570544603,63.3298056666319
289,na,50.37541062340279,29.60018295143906
290,na,26.993778652542026,27.67539109281954
291,na,33.2758039715207,26.93926578117925
292,na,6.956617727678962,50.00529566244792
293,e,85.30922993025489,39.58681234280566
294,na,49.196486081807606,67.86024422762002
295,na,37.25578563535483,34.15596936819231
296,na,46.10287020823858,13.838320720487495
297,na,34.679549190226105,56.82070530895435
